display_bronze,display_platinum,within_promo_ins,within_display_gold,within_display_bronze,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Vol.Sales
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33367139959432046,0.0,0.8593347876764903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2927727272727272
1.0,0.0,0.0,0.0,0.39560439560439564,0.0,0.0,0.0,0.0,0.0,0.0,0.6842878791031128,0.0,0.0,0.0,1.0,0.0,0.0,0.8952380952380953,1.0,0.0,1.9588872727272728
0.0,0.0,0.0,0.6551053113553114,0.0,0.0,0.0,0.5054945054945055,1.0,0.3495605138607166,0.0,0.46193143256779035,0.0,0.5112847222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0693054545454546
0.0,0.0,0.6593406593406593,0.0,0.6593406593406593,0.0,0.0,0.18681318681318682,0.0,0.28837052062204194,0.0,0.8601140004209786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.485629090909091
0.0,0.0,0.0,0.0,0.4945054945054945,1.0,0.0,0.0,0.0,0.3397565922920892,0.0,0.5843709427427974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3313654545454545
0.0,0.0,0.06593406593406585,0.0,0.0,0.0,0.0,0.0,0.0,0.3431372549019608,1.0,0.934126963047325,0.0,0.5060137457044672,0.0,0.0,0.0,0.0,0.0,0.9940699126092384,1.0,1.3530472727272727
0.0,0.0,0.0,0.0,0.0,0.0,0.4945054945054945,0.0,0.0,0.009465855307640325,0.0,0.7518680772486737,0.0,0.5112847222222223,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.72852
0.0,0.0,0.0,0.0,0.34065934065934056,0.0,0.5054945054945055,0.0,0.0,0.3306288032454362,0.0,0.8601162388262558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2489563636363636
0.0,0.0,0.06593406593406585,0.0,0.34065934065934056,0.0,0.16483516483516483,0.0,0.0,0.3431372549019608,0.0,0.9253387466953753,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,1.0,1.7231345454545455
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010141987829614618,0.0,0.5719429490093781,0.0,0.0,0.34065934065934056,0.0,0.0,0.0,0.0,0.0,0.0,1.2845418181818182
0.0,0.0,0.8351648351648352,0.0,0.8351648351648352,0.0,0.0,0.0,0.0,0.33164300202839747,0.0,0.8583043995857396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7044709090909094
0.0,0.0,0.06593406593406585,0.0,0.0,0.18681318681318682,0.0,1.0,0.0,0.3448275862068967,1.0,0.9489673721870315,0.0,0.7345360824742269,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8696654545454547
0.0,0.0,0.0,0.6593406593406593,0.0,0.0,1.0,0.0,0.0,0.341108857336038,0.0,0.5824503499552232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.484089090909091
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33130493576741016,0.0,0.8601146627483112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0990763636363636
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3823529411764707,0.0,0.3817593088544018,0.0,0.0,0.34420787545787546,0.0,0.0,0.0,0.0,0.0,0.0,1.127289090909091
