display_bronze,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Vol.Sales
0.0,0.0,0.6614351355878414,0.20761980618611442,0.48734911792014923,0.0,0.0,0.0,0.0,0.0,0.0,0.06357827476038347,0.9808416010947663,0.0,0.6816529485103984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.5114693333333333
0.0,0.0,0.30552047869860655,0.0,0.5011606313834727,1.0,0.0,0.0,0.0,0.0,0.0,0.061341853035143945,1.0000000000000004,0.0,0.8966168717275242,0.0,0.0,0.0,0.0,0.0,0.0,0.6593406593406593,0.2207792207792208,0.0,0.250652
0.0,0.0,0.1346709086809863,0.0,0.5691736304549675,0.3406593406593406,1.0,0.0,0.3406593406593406,0.0,0.0,0.03450479233226855,0.9291823469038665,1.0,0.7150494583155957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2207792207792208,0.0,0.5056226666666667
0.0,0.0,0.5708853324008469,0.20761980618611442,0.7733286908077996,0.6593406593406593,1.0,0.0,0.0,0.0,0.0,0.8760383386581472,0.4784468012316121,0.0,0.4067624221898649,1.0,0.0,0.0,0.0,0.0,0.0,0.6593406593406593,0.0,0.0,0.8004479999999999
0.0,0.0,0.6293455063681543,0.5495818399044206,0.4652971216341695,0.3406593406593406,0.0,0.3406593406593406,0.0,0.0,0.0,0.48913738019169317,0.1619911050290801,0.0,0.7545184418559754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43401599999999996
0.0,0.0,0.6909814925617459,0.0,0.5811281337047354,0.0,1.0,0.0,0.0,0.0,0.0,0.5680511182108627,0.0010263427984948947,0.0,0.4038120627919155,0.0,0.0,0.0,0.0,0.0,0.0,0.6593406593406593,0.7792207792207793,0.0,0.9266986666666667
0.0,0.2236842105263158,0.2570545755526057,0.0,1.0,0.6593406593406593,0.0,0.0,0.0,0.0,0.0,0.9335463258785945,0.10212110845022293,0.0,0.7766465072549096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4025974025974025,0.0,0.43768266666666666
0.0,0.0,0.5584036160567702,0.0,0.7737929433611885,0.0,0.0,0.0,0.0,0.0,0.0,0.5945686900958467,0.6556619911050299,0.0,0.3408910853348006,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.2256786666666666
1.0,0.0,0.7023876609964219,0.9281826629496881,0.48792943361188534,0.0,1.0,0.0,0.0,0.0,0.0,0.1591054313099043,0.7293876154635659,0.0,0.5666006414638827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6127146666666667
0.0,1.0,0.546174196024916,0.0,0.36675951717734456,0.4945054945054945,0.0,0.0,0.0,0.0,0.0,0.46261980830670923,0.15771467670201877,0.0,0.06532229682842772,0.0,0.0,0.0,1.0,0.0,1.0,0.4945054945054945,0.0,0.0,2.168349333333333
0.0,0.2236842105263158,0.21848792834543307,0.0,0.642219647862269,0.6544110095511964,0.0,0.0,0.6544110095511964,0.0,0.0,0.30415335463258786,0.9604858022579545,0.0,0.9468894320858179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2806613333333334
0.0,0.0,0.4384071424470166,0.0,0.5668935863726694,0.3438430728150354,0.0,0.0,0.0,0.3438430728150354,0.0,0.38051118210862644,0.6534382483749579,0.0,0.18937712131269402,1.0,0.4078947368421052,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.338244
1.0,0.0,0.6977151658824665,0.9281826629496881,0.4961699164345408,0.0,1.0,0.0,0.0,0.0,0.0,0.0792332268370608,0.9750256585699626,0.0,0.35855714372647496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.8566346666666667
0.0,0.0,0.39982160121858623,0.0,0.532845868152275,0.3406593406593406,0.0,0.0,0.0,0.0,0.0,0.377635782747604,0.6667807047553893,0.0,0.9286444601143042,1.0,0.0,0.0,0.0,0.0,0.0,0.3406593406593406,0.0,0.0,0.314072
1.0,0.0,0.5898828673122702,0.5251559803531128,0.5401578458681526,0.4945054945054945,1.0,0.0,0.0,0.4945054945054945,0.0,0.3795527156549521,0.6498460485802267,0.0,0.26757427995123173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6375
0.0,0.0,0.6619201156560273,0.0,0.5132398753894081,0.3438430728150354,0.0,0.0,0.0,0.3438430728150354,0.0,0.5405750798722047,0.025658569962367928,0.0,0.7601131671272006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5025973333333333
0.0,0.0,0.26826342597588937,0.0,0.3827762302692661,0.3406593406593406,1.0,0.0,0.0,0.3406593406593406,0.0,0.04760383386581468,0.9088265480670552,1.0,0.7478516056063067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2207792207792208,0.0,0.515572
0.0,0.0,0.2700635553287354,0.0,0.5208913649025075,0.3406593406593406,0.0,0.0,0.0,0.0,0.0,0.08817891373801934,0.9864864864864873,0.0,0.2390422356091899,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,2.1244653333333336
