Date,PPG,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer
2020-06-28,Promo.Group 20,0,1,0,0,0,1,Retailer 0
2020-06-28,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-06-28,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-06-28,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-07-05,Promo.Group 3,1,0,0,0,1,0,Retailer 0
2020-07-05,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-07-05,Promo.Group 20,1,0,0,0,1,0,Retailer 0
2020-07-05,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-07-05,Promo.Group 6,1,0,0,0,1,0,Retailer 0
2020-07-05,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-07-12,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2020-07-12,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-07-12,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-07-12,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-07-12,Promo.Group 6,1,0,0,0,1,0,Retailer 0
2020-07-12,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-07-19,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2020-07-19,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-07-19,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-07-19,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-07-19,Promo.Group 6,1,0,0,1,0,0,Retailer 0
2020-07-19,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-07-26,Promo.Group 3,1,0,0,1,0,0,Retailer 0
2020-07-26,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-07-26,Promo.Group 20,1,0,0,1,0,0,Retailer 0
2020-07-26,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-07-26,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-07-26,Promo.Group 5,0,1,0,0,0,1,Retailer 0
2020-08-02,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2020-08-02,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-08-02,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-08-02,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-08-02,Promo.Group 6,1,0,0,1,0,0,Retailer 0
2020-08-02,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-08-09,Promo.Group 3,1,0,0,1,0,0,Retailer 0
2020-08-09,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-08-09,Promo.Group 20,1,0,0,1,0,0,Retailer 0
2020-08-09,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-08-09,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-08-09,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-08-16,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2020-08-16,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-08-16,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-08-16,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-08-16,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-08-16,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-08-23,Promo.Group 3,1,0,0,0,0,1,Retailer 0
2020-08-23,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-08-23,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-08-23,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-08-23,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-08-23,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-08-30,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2020-08-30,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-08-30,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-08-30,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-08-30,Promo.Group 6,1,0,0,0,1,0,Retailer 0
2020-08-30,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-09-06,Promo.Group 3,1,0,0,0,0,1,Retailer 0
2020-09-06,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-09-06,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-09-06,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-09-06,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-09-06,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-09-13,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2020-09-13,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-09-13,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-09-13,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-09-13,Promo.Group 6,1,0,0,1,0,0,Retailer 0
2020-09-13,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-09-20,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2020-09-20,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-09-20,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-09-20,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-09-20,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-09-20,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-09-27,Promo.Group 3,1,0,0,0,0,1,Retailer 0
2020-09-27,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-09-27,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-09-27,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-09-27,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-09-27,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-10-04,Promo.Group 3,0,0,0,0,0,0,Retailer 0
